Behavior ID	Object Name	Image Name	Raw Kaze Description
0x4148	1-Up	1-Up.png	1-up (hidden in tree/pole)
0x4180	1-Up Activator	1-Up Activator.png	Unused collectible item?
0x41A4	1-Up & 1-Up Activator Spawner	1-Up & 1-Up Activator Spawner.png	Hidden 1-up in Tree
0x41BC	HMC Directional Elevator	HMC Directional Elevator.png	Controlable Platform
0x41F0	HMC Directional Elevator Button	HMC Directional Elevator Button.png	Controlable Platform sub behavior
0x4218	Grabbable Cork Box	Grabbable Cork Box.png	Breakable Box
0x4244	Sliding Snow Mound	Sliding Snow Mound.png	Sliding snow mound
0x4270	Sliding Snow Mound Spawner	Sliding Snow Mound Spawner.png	Snow mound spawn (Only in Snow Man's Land)
0x4284	Short Wooden Board	Short Wooden Board.png	Platform floating on water (square)
0x42B4	Long Wooden Board	Long Wooden Board.png	Platform floating on water (rectangular)
0x42E4	JRB Wooden Board	JRB Wooden Board.png	Platform floating on water (Jolly Roger Bay)
0x4314	Arrow Lift	Arrow Lift.png	Arrow Lift Behavior
0x4348	Number	Number.png	Orange number
0x4370	Manta Ray	Manta Ray.png	Manta Ray
0x43A0	Falling Pillar	Falling Pillar.png	Falling Pillar
0x43C4			>>>>>>>>>>Unused Behavior?
0x43E0	Falling Pillar Base	Falling Pillar Base.png	Pillar Base Behav
0x4400			beta skull box // Floating Jolly Roger box (unused)
0x442C	TTC Painting Pendulum	TTC Painting Pendulum.png	Oscillating Pendulum
0x444C	Chest Star Spawner	Chest Star Spawner.png	Treasure Chests (Ship)
0x4470	Chest Star Spawner	Chest Star Spawner.png	Treasure Chests (Jolly)
0x4494	Chest Star Spawner	Chest Star Spawner.png	Treasure Chests
0x44B8	Chest Bottom	Chest Bottom.png	>>>>>>>>>>Unused Behavior?
0x44E0	Chest Top	Chest Top.png	>>>>>>>>>>Unused Behavior?
0x44FC	MIPS	MIPS.png	MIPS Rabbit Behavior
0x4538	Yoshi	Yoshi.png	Description: Yoshi behavior
0x4580	Koopa	Koopa.png	Koopa Behavior
0x45D0	Koopa the Quick Flag	Koopa the Quick Flag.png	Waving Koopa Flag // Koopa message save point
0x45F8	Koopa the Quick Flag	Koopa the Quick Flag.png	Koopa flag Behavior
0x4634	Pokey Spawner	Pokey Spawner.png	Pokey Behavior
0x4668	Pokey Head / Body Part	Pokey Body Part.png	Pokey head
0x4698	Swooper	Swooper.png	Description: Bat Behavior
0x46DC	Fly Guy	Fly Guy.png	Fly Guy Behavior
0x472C	Goomba	Goomba.png	Goomba Walk
0x4770	Goomba Triplet Spawner	Goomba Triplet Spawner.png	Goombas Group
0x478C	Chain Chomp	Chain Chomp.png	Chain Chomp
0x47E4	Chain Chomp Pivot / Chain	Chain Chomp Chain.png	Chain-Chomp chains
0x481C	Post	Post.png	Poundable
0x4868	Chain Chomp Gate	Chain Chomp Gate.png	Exploding When Chain Chomp is Freed
0x4898	Wiggler Head	Wiggler Head.png	Wiggler Behavior
0x48E0	Wiggler Body Part	Wiggler Body Part.png	Wiggler body parts
0x4918	Lakitu	Lakitu.png	Evil Lakitu Behavior
0x4954	Camera Lakitu	Camera Lakitu.png	Lakitu Behavior
0x4988	Cloud Spawner	Cloud Spawner.png	Fwoosh Blowing Wind
0x49AC	Cloud Puff	Cloud Puff.png	Fwoosh (cloud enemy) face
0x49C8	Spiny	Spiny.png	spinny
0x4A00	Monty Mole	Monty Mole.png	Monty Mole Behavior
0x4A58	Monty Mole Hole	Monty Mole Hole.png	Monty Mole in Hole
0x4A78	Pebble	Pebble.png	Monty Mole rock
0x4AB0	Carpet / Ski Lift / Fixed Track Elevator	Carpet.png	DPlatform on tracks (param1 = collision pointer, param2 = track#)
0x4AF4	Elevator Track Ball	Bowling Ball.png	Metal Balls for elevators (not actual paths)
0x4B1C	See Saw Platform	See Saw Platform.png	Solid & Moving
0x4B44	Revolving Elevator Group	Revolving Elevator Group.png	Four Rotating Platforms
0x4B6C	Revolving Elevator Platform	Revolving Elevator Platform.png	Ferris Wheel Platform
0x4B8C	Bubble Bomb Spawner	Bubble Bomb Spawner.png	Water Bubble Drop
0x4BA8	Bubble Bomb	Bubble Bomb.png	Water bomb
0x4BD4	Bubble Bomb Shadow	Bubble Bomb Shadow.png	Water bomb shadow
0x4BF0	TTC Rotating Block / Triangular Prism	TTC Rotating Block & Triangular Prism.png	Rotating Clock Platform
0x4C24	TTC Pendulum	TTC Pendulum.png	Clock Pendulum Behavior
0x4C5C	TTC Treadmill	TTC Treadmill.png	Clock Metal Platform
0x4C94	TTC Moving Bar	TTC Moving Bar.png	Sliding Platform
0x4CCC	TTC Rotating Cog / Triangle	TTC Rotating Cog & Triangle.png	Rotating Gear Platform
0x4CF8	TTC Pit Block	TTC Pit Block.png	Pushable Clock Box
0x4D28	TTC Elevator Platform	TTC Elevator Platform.png	Clock Platform Behavior (moving up and down custom)
0x4D64	TTC Rotating Hand / 2D Cog	TTC Rotating Hand & 2D Cog.png	Clock Main Rotation
0x4D90	TTC Red Coin Spinner	TTC Red Coin Spinner.png	Rotating Clock Platform
0x4DBC	Mr. Blizzard	Mr. Blizzard.png	Mr. Blizzard
0x4E08	Snowball	Snowball.png	Snowball from Snowman
0x4E4C	Back-and-Forth Platform	Back-and-Forth Platform.png	Sliding Platform
0x4E78	Rotating Octagonal Platform	Rotating Octagonal Platform.png	Octogonal Platform Rotating
0x4EA0	Structure Activated by ! Switch	Tricky Triangles.png	Animates On Floor Switch Press (bowser staircase // Pyramidal Platforms)
0x4ECC	BitFS Elevator / BitS Arrow Platform	Arrow Platform.png	Moves When Stepping on It // Climbable Cage
0x4EF8	Spinning Heart	Spinning Heart.png	Recover Life
0x4F10	Enemy Cannon Base	Enemy Cannon Base.png	Cannon Behavior
0x4F28	Enemy Cannon Shaft	Enemy Cannon Shaft.png	Cannon barrel (shoots bubbles)
0x4F40	Unagi	Unagi.png	Unagi the eel (swimming)
0x4F78	Unagi Hitbox	Unagi Hitbox.png	>>>>>>>>>>Unused Behavior?
0x4F90	Dorrie	Dorrie.png	Dorrie
0x4FD4	Haunted Chair	Haunted Chair.png	Haunted Chair Behavior
0x5024	Mad Piano	Mad Piano.png	Mad Piano Behavior
0x506C	Bookend	Bookend.png	Flying Bookend
0x50B4	Bookend Spawner	Bookend Spawner.png	spawns bookends
0x50D4			BookShelf Thing?
0x50F4	Book Switch	Book Switch.png	Book switch (Big Boo's Haunt)
0x5120	Piranha Plant	Piranha Plant.png	Piranha Plant Behavior
0x5158	Fire	Fire.png	Flame (spawned from small Piranha Plant)
0x518C	Fire Spitter	Bowling Ball.png	Fire Spewer Behavior
0x51AC	Residual Fire	Residual Fire.png	Flame (spawned from Fly Guys flame)
0x51E0	Snufit	Snufit.png	Snufit Behavior
0x521C	Snufit Bullet	Bowling Ball.png	snufit balls
0x525C	Grindel	Grindel.png	Grindel Behavior
0x52B4	Eyerok Behavior	Eyerok Behavior.png	Eyerok Boss Behavior
0x52D0	Eyerok Hand	Eyerok Hand.png	Eyerok hand
0x5310	Klepto	Klepto.png	Klepto Behav
0x5354	Bird	Bird.png	Description: Multiple Birds flying
0x5380	Racing Penguin	Penguin.png	Racing Penguin
0x53C4	Finishing Line Checkpoint	Finishing Line Checkpoint.png	Finishing Line Check
0x53DC	Shortcut Checkpoint	Shortcut Checkpoint.png	Shortcut Check
0x53F4			Haunted Room Check?
0x5414	Coffin	Coffin.png	>>>>>>>>>>Unused Behavior?
0x5440	Clam	Clam.png	Clam Shell Behav
0x5468	Skeeter	Skeeter 2.png	Skeeter Behavior
0x54A0	Skeeter Water Waves	Water Waves.png	Water wave type?
0x54B8	Swing	Swing.png	Pendulum-Like Movement
0x54EC	Donut Lift Spawner	Donut Lift Spawner.png	Donut platform group
0x5504	Donut Lift	Donut Lift.png	Donut platform (falls and explodes when stepped on)
0x5528	DDD Pole	DDD Pole.png	Yellow Poles (Dire, Dire Docks)
0x556C	Star Marker	Star Marker.png	Shadow star for red star
0x5598	Butterfly Spawner	Butterfly Spawner.png	Three butterflies group (2 turn into bombs, 1 gives a mushroom)
0x55DC	Bubba	Bubba.png	Bubba Behavior
0x5610			Lakitu at the beginning
0x5638	Peach	Peach.png	Peach at the beginning
0x565C	Bird	Bird.png	Birds at end 1
0x5680	Bird	Bird.png	Birds at end 2
0x56A4			Calls intro scene stuff (Lakitu, Peach, etc.)
